code_cbo2002;occupation;stem
8486;Trabalhadores artesanais na indústria do fumo;0
8601;Supervisores da produção de utilidades;0
8611;Operadores de instalações de geração e distribuição de energia elétrica, hidráulica, térmica ou nuclear;0
8612;Operadores de instalações de distribuição de energia elétrica;0
8621;Operadores de máquinas a vapor e utilidades;0
8622;Operadores de instalações de captação, tratamento e distribuição de água;0
8623;Operadores de instalações de captação e esgotos;0
8624;Operadores de instalações de extração, processamento, envasamento e distribuição de gases;0
8625;Operadores de instalações de refrigeração e ar-condicionado;0
9101;Supervisores em serviços de reparação e manutenção de máquinas e equipamentos industriais, comerciais e residenciais;0
9102;Supervisores em serviços de reparação e manutenção veicular;0
9109;Supervisores de outros trabalhadores de serviços de reparação, conservação e manutenção;0
9111;Mecânicos de manutenção de bombas, motores, compressores e equipamentos de transmissão;0
9112;Mecânicos de manutenção e instalação de aparelhos de  climatização e refrigeração;0
9113;Mecânicos de manutenção de máquinas industriais;0
9131;Mecânicos de manutenção de máquinas pesadas e equipamentos agrícolas;0
9141;Mecânicos de manutenção aeronáutica;0
9142;Mecânicos de manutenção de motores e equipamentos navais;0
9143;Mecânicos de manutenção metroferroviária;0
9144;Mecânicos de manutenção de veículos automotores;0
9151;Técnicos em manutenção e reparação de instrumentos de medição e precisão;0
9152;Restauradores de instrumentos musicais;0
9153;Técnicos em manutenção e reparação de equipamentos biomédicos;0
9154;Reparadores de equipamentos fotográficos;0
9191;Lubrificadores;0
9192;Trabalhadores de manutenção de roçadeiras, motoserras e similares;0
9193;Mecânicos de manutenção de bicicletas e equipamentos esportivos e de ginástica;0
9501;Supervisores de manutenção eletroeletrônica industrial, comercial e predial;0
9502;Supervisores de manutenção eletroeletrônica veicular;0
9503;Supervisores de manutenção eletromecânica;0
9511;Eletricistas de manutenção eletroeletrônica;0
9513;Instaladores e mantenedores de sistemas eletroeletrônicos de segurança;0
9531;Eletricistas eletrônicos de manutenção veicular (aérea, terrestre e naval);0
9541;Instaladores e mantenedores eletromecânicos de elevadores, escadas e portas automáticas;0
9542;Reparadores de aparelhos eletrodomésticos;0
9543;Reparadores de equipamentos de escritório;0
9911;Conservadores de vias permanentes (trilhos);0
9912;Mantenedores de equipamentos de parques de diversões e similares;0
9913;Reparadores de carrocerias de veículos;0
9914;Mantenedores de edificações;0
9921;Trabalhadores elementares de serviços de manutenção veicular;0
9922;Trabalhadores operacionais de conservação de vias permanentes (exceto trilhos);0
